Order_ID,Origin_City,Destination_City,Distance_km,Vehicle_Type,Delivery_Mode,Weather,Expected_Delivery_Days,Actual_Delivery_Days,Warehouse_ID,Warehouse_Region,Warehouse_Capacity,Warehouse_Handles_Fragile,Warehouse_Cold_Storage,Product_Name,Product_Category,Weight_kg,Stock_Quantity,Reorder_Level,In_Stock,Low_Stock_Alert,Packaging_Type,Packaging_Cost_LKR,Fragile,Requires_Cold_Storage,Total_Cost_LKR,Order_Date,Delivery_Status,On_Time
SL00001,Colombo,Kilinochchi,360,Motorbike,Standard,Rainy,3,6,WH001,Western,10000,Yes,Yes,Laptop,Electronics,2.5,397,10,Yes,No,Anti-static box with foam,600,Yes,No,9490.0,2024-03-30,Delayed,0
SL00002,Colombo,Kandy,115,Three Wheeler,Same-Day,Rainy,1,1,WH001,Western,10000,Yes,Yes,Cotton Clothing Bale,Clothing,8.0,328,10,Yes,No,Poly mailer bag,120,No,No,5530.0,2025-07-12,Delivered,1
SL00003,Galle,Kalutara,78,Three Wheeler,Standard,Clear,2,2,WH004,Southern,4500,Yes,No,Cotton Clothing Bale,Clothing,8.0,101,100,Yes,No,Poly mailer bag,120,No,No,2390.0,2024-06-08,Delivered,1
SL00004,Kurunegala,Jaffna,317,Three Wheeler,Same-Day,Stormy,2,2,WH006,North Western,4000,Yes,No,Ceramic Dinnerware Set,Fragile Items,6.0,14,25,Yes,Yes,Bubble wrap and double box,850,Yes,No,13550.0,2025-04-15,Delivered,1
SL00005,Gampaha,Nuwara Eliya,113,Lorry,Same-Day,Foggy,1,1,WH002,Western,6000,Yes,No,Furniture Set,Furniture,80.0,341,50,Yes,No,Corner guards and blankets,700,No,No,11170.0,2024-02-16,Delivered,1
SL00006,Jaffna,Galle,525,Motorbike,Express,Clear,2,2,WH005,Northern,3500,No,No,Medicine Pack,Pharmacy,0.5,252,100,Yes,No,Sealed insulated pack,500,No,Yes,16480.0,2024-12-29,Delivered,1
SL00007,Jaffna,Monaragala,445,Three Wheeler,Same-Day,Foggy,2,2,WH005,Northern,3500,No,No,Ceramic Dinnerware Set,Fragile Items,6.0,293,100,Yes,No,Bubble wrap and double box,850,Yes,No,19260.0,2025-07-24,Delivered,1
SL00008,Kurunegala,Kandy,42,Motorbike,Express,Clear,1,1,WH006,North Western,4000,Yes,No,Medicine Pack,Pharmacy,0.5,225,25,Yes,No,Sealed insulated pack,500,No,Yes,2170.0,2025-08-03,Delivered,1
SL00009,Galle,Chilaw,232,Motorbike,Economy,Stormy,4,4,WH004,Southern,4500,Yes,No,Mobile Phone,Electronics,0.3,349,40,Yes,No,Anti-static box with foam,600,Yes,No,4810.0,2025-07-28,Delivered,1
SL00010,Jaffna,Kilinochchi,70,Lorry,Economy,Foggy,4,4,WH005,Northern,3500,No,No,Furniture Set,Furniture,80.0,132,20,Yes,No,Corner guards and blankets,700,No,No,4610.0,2024-04-22,Delivered,1
